gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
PPAN,2.609746943036179,13779,0.042492252155270534,0.016282125043267856,0.022977022977022976,0.03613223992061353,True,False,False
PPARA,5.573086655193277,10814,0.07092565696863173,0.01272644866766484,0.008991008991008992,0.018015274904492586,True,False,False
PPARD,2.5170442788455327,12504,0.08894947959965545,0.03533885167487407,0.015984015984015984,0.027698469157202362,True,False,False
PPARG,7.904898123845682,5575,0.1795642871894824,0.022715562595150094,0.000999000999000999,0.0038827540172831653,True,True,False
PPARGC1A,5.947955632657719,5574,0.24313393764140154,0.0408768816006124,0.000999000999000999,0.0038834506003504925,True,True,False
PPARGC1B,2.034854124634472,16208,0.07365420166482671,0.03619629555976954,0.06493506493506493,0.08680978448994243,False,False,False
PPAT,1.2041140167170246,19559,0.05738389129503219,0.047656516290996424,0.29270729270729273,0.32426921715740165,False,False,False
PPBP,2.9722997091711387,12472,0.00772875573992487,0.002600251244206805,0.014985014985014986,0.02603394040212514,True,False,False
PPCDC,6.779287373701387,11642,0.0636967155295234,0.009395773364578919,0.013986013986013986,0.026030660629526803,True,False,False
PPCS,2.4961396027212066,14271,0.04210700782180942,0.016868841315810137,0.026973026973026972,0.0409537907961284,True,False,False
PPDPF,2.7237944414893835,13108,0.42890417783459084,0.1574656824551414,0.017982017982017984,0.029724928717910108,True,False,False
PPDPFL,1.746019185068107,16587,0.0011560112908655191,0.0006620739568955976,0.07592407592407592,0.09918146000620227,False,False,False
PPEF1,17.583485136500453,5583,0.6976611210389619,0.03967705718110911,0.000999000999000999,0.003877190336083404,True,True,False
PPEF2,6.5537734386120485,8480,0.02280319405725162,0.0034793891996892797,0.001998001998001998,0.005105272086404162,True,True,False
PPFIA1,2.0783608458391596,15410,0.02084184104752713,0.010028008517213754,0.04495504495504495,0.06321128579402427,False,False,False
PPFIA2,13.709155041647303,5582,0.6537387543185872,0.04768628082774115,0.000999000999000999,0.003877884924104917,True,True,False
PPFIA3,2.7705320367118937,13422,0.08846581848656669,0.03193097557039577,0.02097902097902098,0.033867786214679375,True,False,False
PPFIA4,1.8882339401293218,16427,0.10479421700208472,0.05549852478161056,0.07092907092907093,0.09355884269136841,False,False,False
PPFIBP1,10.461119241643186,5581,0.5146054614050078,0.04919218918232917,0.000999000999000999,0.0038785797610381015,True,True,False
PPFIBP2,7.0915376209695635,5580,0.3824849541125733,0.053935395063856875,0.000999000999000999,0.0038792748470167825,True,True,False
