gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
RGS9,14.426570245174352,4786,2.7612803760168303,0.19140240437083572,0.000999000999000999,0.004522848651557386,True,True,True
RGS8,14.656288901873758,4787,1.5431062830574467,0.10528627995981144,0.000999000999000999,0.004521903832536796,True,True,True
RHEBL1,49.86522494189133,4800,0.8365253269640308,0.01677571552693477,0.000999000999000999,0.00450965700965701,True,True,True
RGS6,32.57531295738565,4804,1.3957109739504594,0.04284565585058752,0.000999000999000999,0.004505902091247636,True,True,True
RGS4,37.47446310221526,4806,2.988133969785671,0.0797378627384364,0.000999000999000999,0.0045040269759370885,True,True,True
RFTN1,26.29089198632931,4835,2.300818502995188,0.08751389041051341,0.000999000999000999,0.0044770121295457386,True,True,True
RF02160,31.769448662362187,4853,1.677411119305705,0.0527994936090432,0.000999000999000999,0.004460406685834257,True,True,True
ENSMFAG00000043848,10.944010010187466,5062,0.6259077459230159,0.0571918004369766,0.000999000999000999,0.004276245287703209,True,True,True
IRX1,19.62772221184384,5155,1.1069971349342531,0.05639966404196624,0.000999000999000999,0.004199098670485673,True,True,True
ISL1,16.143408217718115,5221,1.2598248117961086,0.07803957091163144,0.000999000999000999,0.0041460167872732516,True,True,True
PTPRT,10.41940522064204,5249,0.6899652364196137,0.06621924357627067,0.000999000999000999,0.004123900485112145,True,True,True
PTGS2,29.827962598905106,5321,2.813582583635125,0.09432700192063326,0.000999000999000999,0.004068098787136562,True,True,True
PSRC1,9.290828631967162,5359,0.6825205939343557,0.07346174685406485,0.000999000999000999,0.004039252406485099,True,True,True
PRICKLE1,19.88854027556049,5464,0.835627967170915,0.04201554044226923,0.000999000999000999,0.003961631340840711,True,True,True
KALRN,12.247943245419004,5492,0.3209880197355507,0.02620749384809361,0.000999000999000999,0.003941433657384131,True,True,True
PPL,14.062313063753512,5558,1.5988451751641612,0.1136971583047851,0.000999000999000999,0.003894630019135237,True,True,True
POU6F2,34.41118840602661,5576,2.0786377892677836,0.060405860461124235,0.000999000999000999,0.0038820576840662923,True,True,True
KCNIP4,24.482217184227313,5597,1.1840179308482266,0.048362355301253476,0.000999000999000999,0.0038674921647942908,True,True,True
ENSMFAG00000015786,37.00079786669278,5614,1.3867863279928012,0.0374798933520613,0.000999000999000999,0.003855780841887005,True,True,True
KCNH1,20.21793014044874,5636,1.1184221095548015,0.05531831891821328,0.000999000999000999,0.0038407298875716193,True,True,True
KCNK12,13.97229868012949,5644,0.9308881173208889,0.06662382467687665,0.000999000999000999,0.0038352859047401924,True,True,True
KCNIP3,17.217779999201245,5662,0.7015117271337403,0.040743438177772304,0.000999000999000999,0.0038230931908077794,True,True,True
KCNH7,28.76445399744365,5664,1.4583516343872178,0.050699775037352846,0.000999000999000999,0.0038217432285228893,True,True,True
ENSMFAG00000017288,34.89309050478407,5684,1.2559517470288468,0.035994272216321524,0.000999000999000999,0.00380829585614948,True,True,True
