gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
POU6F2,70.65412225883365,84,6.7308721201364055,0.0952650913833077,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
VSNL1,69.93319220975424,86,5.906339148794557,0.08445686894640028,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000017288,69.66304907003456,87,2.8658918295229543,0.041139329546303505,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RGS6,69.57623160507593,88,3.825185361844583,0.054978324893974286,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
DRD2,69.19299150635871,89,17.643934269985117,0.25499596409896164,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
EPHA3,68.7428883410627,90,7.9872489777512055,0.11619017593055135,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
EFHD2,68.58956020179407,91,4.317720889800904,0.06295010773071505,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KLHL13,68.38103754310302,92,4.139315053157308,0.060533073467008654,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
IGSF21,68.21128803299789,93,3.753218907297045,0.05502341816751075,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
IRX1,67.61007893684393,94,3.095492480938636,0.04578447257441326,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
HTR2A,67.54425889981756,95,5.151832851566549,0.07627342812014887,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NUDT4,67.43490287720175,96,1.2273161182089798,0.018200003136282103,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TBR1,67.04155592202203,98,13.518320652176222,0.20164090459780215,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SLC18A3,67.02117373715248,99,6.272938458607862,0.09359635826429563,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RGS8,66.8945842601545,100,6.257747049842282,0.09354638271702126,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RF02160,66.85372962416359,101,4.2729834380970075,0.06391539849132495,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FAM163B,66.79903521895673,102,6.972869742084063,0.10438577520225767,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PAK1,66.69946707741819,103,2.2180453847712673,0.03325430944151485,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000033090,66.60054083739185,104,5.017893160165134,0.07534311930605987,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
DOC2A,66.45340547468916,105,7.587860041857793,0.1141831531901523,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LRFN2,66.05878933574502,106,4.417992236702502,0.066879693384329,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
DSG3,65.82393234726815,107,5.390388367537608,0.08189100099429107,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TRHDE,65.70555625932056,108,4.508129319046316,0.06861107216258078,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ADGRA1,65.67802441911456,109,3.6966216042796836,0.056283985095379865,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
DLGAP1,65.62349112054792,111,2.542250197081293,0.038739931348308845,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
HTR3A,65.49321495421202,112,7.629655629949519,0.11649534963814888,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
BEND5,65.39685159412583,114,1.5433247562872454,0.023599363955578496,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MKX,65.3531268614335,115,8.242373146285138,0.12612055288846322,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
BMPER,65.3388261062007,116,2.281713796762916,0.03492124483023301,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ECEL1,65.17339608111166,117,6.804924924847069,0.10441260824653097,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PAPSS2,65.0136304415841,118,4.548602795873274,0.06996382319895164,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
GPR139,64.56969565572032,120,7.885048892850124,0.12211685632212857,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ADAM19,64.41062752432921,121,2.629912742264671,0.0408304063978421,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000046600,63.95882412138094,125,3.789357019075903,0.05924681123430643,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RHEBL1,63.931734376796626,126,2.003974007876616,0.03134551859250973,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SYNDIG1L,63.80642081641548,127,19.463382850268747,0.3050379877630935,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SEPT6,63.56833282593643,128,1.6483236444180964,0.025929939255261356,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KHDRBS2,63.278637876303364,129,3.0006545827262716,0.04741969882167107,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CYTH3,63.23430962263198,130,0.9878504456158718,0.015622054216580195,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ABCA1,63.020108372331734,131,2.865195256319235,0.04546476831157089,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
STX1A,62.65704602520524,132,5.790590127849071,0.0924172119277569,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ELAVL4,62.622873648108225,133,4.413267036266558,0.07047371276567316,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CDKL1,62.6045600461753,134,3.3423144509425597,0.053387705662842545,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ZSCAN31,62.320018939234544,135,2.620406228725276,0.042047573959823836,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SLC26A4,62.12177677916059,137,5.750499169444229,0.09256815961122875,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000043848,62.081148231649635,138,2.7412754877592427,0.04415631709515046,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FTCD,62.07350191887674,139,5.035481837352162,0.08112126851161007,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CUX2,61.67448374719538,142,6.540492037424629,0.10604857995227593,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KCNS3,61.66638236748359,143,2.7724212557299612,0.044958379795083006,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SLC30A3,60.69853859324515,148,12.910240736234613,0.21269441453547525,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NEUROD1,60.68336947439771,149,7.146489652332739,0.11776684629409291,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TMEM266,60.67563832488665,150,1.8540602590392865,0.030556903948094835,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LHX8,60.24801484412785,152,2.9331606885718746,0.048684759052731015,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CREG2,60.189671130846335,153,2.326454432829675,0.03865204423322874,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CA10,59.90765106596742,154,4.1802898083564015,0.06977888691841311,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
VXN,59.87619538136455,155,4.075213051408716,0.0680606445798843,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ISL1,59.79144553131571,156,3.769002583767294,0.06303580641613403,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
LHFPL3,59.4484878996563,163,2.442328876225483,0.04108310182528165,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SRGAP1,59.41395597029638,165,4.305637650736341,0.0724684459447433,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PBX3,59.27131806564465,167,3.7177387202612238,0.06272406703408458,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PTGS2,59.14164772603871,168,5.796506569791623,0.09801055941535895,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
EDNRB,58.9693388597754,169,2.312462340339049,0.0392146460407928,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
BAIAP2L2,58.92382563885393,171,4.519478148669044,0.07670034167724979,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
GJD4,58.87757976505814,173,2.7867079166038096,0.04733053462706748,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SALL2,58.72567784775071,175,1.237815122558729,0.021077909709463844,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SLC17A7,58.46617645310855,179,15.348481533614603,0.2625189790076786,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CHAT,58.253317091868695,180,6.477349212386269,0.1111927861487778,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NTRK1,57.822300387909266,181,3.7826376405233395,0.06541830810818608,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FXYD6,57.65896435406578,184,3.9697764305232166,0.06884923963525279,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KCNH1,57.00643449083604,189,3.0412095593848227,0.05334852138155319,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NEUROD2,56.88178556455485,191,11.132981225919993,0.1957213639938812,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PDZRN3,56.77944745202064,192,2.2641425170352645,0.03987608282299716,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ZFHX3,56.587776900640534,196,3.681709821082339,0.06506191719934656,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ADRA1B,56.543591073524105,197,5.5952399622157465,0.098954440115137,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
