sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-R-V3v-7-29_BRRL200004945-1A,qbt,Occipital/Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
qbt-R-V2-7-29_BRRL200004946-1A,qbt,Occipital/Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
qbt-L-F3-8-2_BRRL200004954-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
qbt-L-F2-8-2_BRRL200004955-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
qbt-L-F1-8-2_BRRL200004956-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
qbt-L-STGr-8-2_BRRL200004957-1A,qbt,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
qbt-L-1-2-8-2_BRRL200004958-1A,qbt,"Parietal, and Parieto-occipital region",Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
qbt-L-SII-8-2_BRRL200004959-1A,qbt,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-L-Ig-8-10_BRRL200004965-1A,qbt,Operculum/Insula,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",0,1,200
qbt-L-Id-8-10_BRRL200004966-1A,qbt,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-L-pi-8-10_BRRL200004967-1A,qbt,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
