reference,family,marker_gene
Siletti2023_human,Excitatory neuron,CPA6
Siletti2023_human,Excitatory neuron,CPLX4
Siletti2023_human,Excitatory neuron,CPZ
Siletti2023_human,Excitatory neuron,CR382285.1
Siletti2023_human,Excitatory neuron,CRHR2
Siletti2023_human,Excitatory neuron,CRNDE
Siletti2023_human,Excitatory neuron,CRTAM
Siletti2023_human,Excitatory neuron,CSN1S1
Siletti2023_human,Excitatory neuron,CTXND1
Siletti2023_human,Excitatory neuron,CXCL14
Siletti2023_human,Excitatory neuron,CYP19A1
Siletti2023_human,Excitatory neuron,CYP1B1
Siletti2023_human,Excitatory neuron,CYP27C1
Siletti2023_human,Excitatory neuron,DAPL1
Siletti2023_human,Excitatory neuron,DBH
Siletti2023_human,Excitatory neuron,DCDC2C
Siletti2023_human,Excitatory neuron,DCN
Siletti2023_human,Excitatory neuron,DCSTAMP
Siletti2023_human,Excitatory neuron,DDC
Siletti2023_human,Excitatory neuron,DGKK
Siletti2023_human,Excitatory neuron,DIAPH3
Siletti2023_human,Excitatory neuron,DLK1
Siletti2023_human,Excitatory neuron,DMRTA1
Siletti2023_human,Excitatory neuron,DMRTA2
Siletti2023_human,Excitatory neuron,DPP4
Siletti2023_human,Excitatory neuron,DRD3
Siletti2023_human,Excitatory neuron,DRGX
Siletti2023_human,Excitatory neuron,DSC3
Siletti2023_human,Excitatory neuron,DSP
Siletti2023_human,Excitatory neuron,DUXAP10
Siletti2023_human,Excitatory neuron,DUXAP9
Siletti2023_human,Excitatory neuron,EBF1
Siletti2023_human,Excitatory neuron,EBF2
Siletti2023_human,Excitatory neuron,EBF3
Siletti2023_human,Excitatory neuron,ECEL1
Siletti2023_human,Excitatory neuron,EGFLAM
Siletti2023_human,Excitatory neuron,EHF
Siletti2023_human,Excitatory neuron,EN1
Siletti2023_human,Excitatory neuron,ENPEP
Siletti2023_human,Excitatory neuron,EOMES
Siletti2023_human,Excitatory neuron,ERG
Siletti2023_human,Excitatory neuron,ESR1
Siletti2023_human,Excitatory neuron,ESRRAP2
Siletti2023_human,Excitatory neuron,F13A1
Siletti2023_human,Excitatory neuron,F2R
Siletti2023_human,Excitatory neuron,FAM20A
Siletti2023_human,Excitatory neuron,FAM230I
Siletti2023_human,Excitatory neuron,FAM83B
Siletti2023_human,Excitatory neuron,FAM9B
Siletti2023_human,Excitatory neuron,FAT2
Siletti2023_human,Excitatory neuron,FBLN2
Siletti2023_human,Excitatory neuron,FBXL21P
Siletti2023_human,Excitatory neuron,FER1L6-AS2
Siletti2023_human,Excitatory neuron,FEV
Siletti2023_human,Excitatory neuron,FEZF1
Siletti2023_human,Excitatory neuron,FEZF1-AS1
Siletti2023_human,Excitatory neuron,FEZF2
Siletti2023_human,Excitatory neuron,FGF10
Siletti2023_human,Excitatory neuron,FIBCD1
Siletti2023_human,Excitatory neuron,FNDC1
Siletti2023_human,Excitatory neuron,FOLR1
Siletti2023_human,Excitatory neuron,FOXA1
Siletti2023_human,Excitatory neuron,FOXA2
Siletti2023_human,Excitatory neuron,FOXB1
Siletti2023_human,Excitatory neuron,FRMD6-AS2
Siletti2023_human,Excitatory neuron,FRMPD2
Siletti2023_human,Excitatory neuron,FSHR
Siletti2023_human,Excitatory neuron,FST
Siletti2023_human,Excitatory neuron,FZD7
Siletti2023_human,Excitatory neuron,GABRE
