"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMFAG00000019281",,,2.34652185917367,-0.287175515053575,0.916776968310943,4.22902812861813,0.895702040081259,0.918090154638124
"ENSMFAG00000039885","ZNF254","protein_coding",381.07947061932,-0.101528329324631,0.143586008267408,4.22885492187368,0.895714393679165,0.918090154638124
"ENSMFAG00000008429","RF00001","rRNA",8.91261205013002,-0.293745967680296,0.338166893739245,4.22851014525253,0.895738982042245,0.918090154638124
"ENSMFAG00000039928","OARD1","protein_coding",1312.01664565989,-0.0259418428792141,0.112334842311726,4.22680607677546,0.895860469939773,0.918174337733476
"ENSMFAG00000005648","ENSMFAG00000005648","miRNA",4.00851012084788,-0.345386631546574,0.383341752036424,4.20880745040233,0.897139491564877,0.919439742922712
"ENSMFAG00000032444","HEATR5B","protein_coding",13917.8726160957,-0.0523414566433378,0.0967722813455895,4.2083212063344,0.897173939710191,0.919439742922712
"ENSMFAG00000037324","SYNM","protein_coding",24013.8820338079,0.016472558908344,0.132283652742628,4.20740407822314,0.897238898877475,0.919465926547651
"ENSMFAG00000037339","ENSMFAG00000037339","protein_coding",4034.27668652311,0.0386650283413921,0.108851010713778,4.20584426255868,0.897349333487792,0.919538707818151
"ENSMFAG00000045923","ZNF862","protein_coding",6347.27715538101,-0.0597735607586384,0.0826771917709979,4.20239184413936,0.897593560499946,0.919748577452863
"ENSMFAG00000042256","RDH14","protein_coding",1812.66339418811,0.0826042095127639,0.0770075014488832,4.20039369938445,0.897734782823581,0.91985288616851
"ENSMFAG00000005585","MIR187","miRNA",7.22140746439868,0.425409879241557,0.488636822010998,4.19913965052501,0.897823366876547,0.919903252935608
"ENSMFAG00000039613","DTWD1","protein_coding",3047.67767744794,-0.138709381024502,0.19779430812265,4.19707172942276,0.897969360687492,0.920012434314064
"ENSMFAG00000034836","RF00004","snRNA",3293.35599674576,0.154647352799961,0.202399104756886,4.19484014119212,0.898126796228963,0.920133328187676
"ENSMFAG00000042300","DERL2","protein_coding",1707.75658175857,0.0018629363497784,0.159542243130818,4.19123489562162,0.898380893317716,0.920353237112305
"ENSMFAG00000000213","ENSMFAG00000000213","protein_coding",2.11006726975968,-0.495103413446305,0.581808514846351,4.18484433159222,0.898830545162177,0.9207734555073
"ENSMFAG00000046797","ENSMFAG00000046797","lincRNA",2.16257009386312,0.0879362202377259,0.693536354704767,4.18314769758859,0.898949761329594,0.920855149349349
"ENSMFAG00000046418","COX2","protein_coding",434236.02594361,0.0556836381116517,0.242656137339905,4.17945102898989,0.899209276685919,0.921080547673494
"ENSMFAG00000010688","ENSMFAG00000010688","protein_coding",163.900007923217,-0.0494253985771592,0.195212324259393,4.17580050809715,0.899465234882447,0.921302282686907
"ENSMFAG00000039576","YIPF2","protein_coding",4298.90912231286,0.02462069064924,0.0936808182769359,4.17521324329005,0.899506381785695,0.921303981449671
"ENSMFAG00000016181","RF00017","misc_RNA",3.01759065465385,0.167095003404718,0.562087007516271,4.172820992661,0.899673911143902,0.921435119442422
"ENSMFAG00000003024","MS4A2","protein_coding",1.83368978464503,-0.114343601381271,0.870802046949336,4.17077770633014,0.899816895068569,0.921541107890118
"ENSMFAG00000006902","ENSMFAG00000006902","miRNA",1.34446077721243,-0.97456972437275,0.79900132463845,4.16128796003881,0.90047966393953,0.922179397742656
"ENSMFAG00000010641","RF00100","misc_RNA",1.9508866813205,-0.925159618565096,0.60529987028594,4.15927738898222,0.900619808492675,0.922253662767713
"ENSMFAG00000037838","ENSMFAG00000037838","protein_coding",2.91128206838063,-0.119435398403806,0.656693266266036,4.15911333190144,0.900631239659662,0.922253662767713
"ENSMFAG00000047155","ENSMFAG00000047155","lincRNA",1.32537750502205,0.225072315395833,0.984455105050525,4.1440379076526,0.901678927979143,0.923285980631178
"ENSMFAG00000030101","RF00090","snoRNA",54.5565560784326,-0.00175884533349141,0.16622548807649,4.13786095014768,0.902106637897929,0.92368340071959
"ENSMFAG00000014174","RF00019","misc_RNA",15.7644015341476,-0.178083794787253,0.251175370318808,4.13565259331801,0.902259329320485,0.923799201842113
"ENSMFAG00000009760","ENSMFAG00000009760","protein_coding",2.10640364053554,-0.191917455006864,0.611676955642007,4.1343004910951,0.902352759507611,0.923842165468873
"ENSMFAG00000031415","ENSMFAG00000031415","protein_coding",9.96407324766779,0.106725219555654,0.376443240497074,4.13389912334833,0.902380485571563,0.923842165468873
"ENSMFAG00000044478","CUL2","protein_coding",4690.85512287435,-0.0981495693951161,0.0927017137312342,4.12970490536691,0.902669986919863,0.924098001966973
"ENSMFAG00000041266","ENSMFAG00000041266","protein_coding",5.06622846675836,0.45094559871938,0.496401478217587,4.12800902860567,0.902786923284011,0.924155254186649
"ENSMFAG00000032780","VTA1","protein_coding",4026.34894104779,-0.0356669972548747,0.152563860582446,4.12774485392265,0.902805132802799,0.924155254186649
"ENSMFAG00000032864","ENSMFAG00000032864","pseudogene",2.42784584360252,0.0565635490022441,0.51619739705758,4.12051713501586,0.903302688672459,0.924624008661305
"ENSMFAG00000034280","ENSMFAG00000034280","protein_coding",1.84188639278202,0.226985752789805,0.566474805553986,4.11585034497261,0.903623283696768,0.924911592170277
"ENSMFAG00000038063","ENSMFAG00000038063","pseudogene",15.3810355519282,-0.216380642761112,0.274210699809198,4.10557845912848,0.904327086620469,0.925591369069627
"ENSMFAG00000031238","ENSMFAG00000031238","protein_coding",272.648288392108,-0.0834716734232484,0.0904665238814348,4.10135692540132,0.904615597955311,0.92584604824949
"ENSMFAG00000030194","ENSMFAG00000030194","protein_coding",11.2268015224642,0.174724664944413,0.294544953858158,4.09847568340689,0.904812263122495,0.926006707501467
"ENSMFAG00000031293","RPL9","protein_coding",21517.7027203615,0.062251961277343,0.0946735535722188,4.09561261196109,0.905007489439092,0.926165880169465
"ENSMFAG00000045914","PCYOX1","protein_coding",9037.2597817843,-0.085542537294507,0.135690774209486,4.09271129402487,0.905205121622263,0.926327500880259
"ENSMFAG00000001975","NCKAP1","protein_coding",37908.5947990827,-0.0163969920745379,0.139261405015079,4.09031656530351,0.905368092588066,0.926453638954919
"ENSMFAG00000040518","NUTM1","protein_coding",2.23441861837375,-0.148113811232932,0.535090628528013,4.08931434655852,0.905436256441785,0.926482755100359
"ENSMFAG00000001890","ENSMFAG00000001890","protein_coding",1.85762196137141,-0.437914045373468,0.65850900724173,4.0849400074452,0.905733483488947,0.926746246087212
"ENSMFAG00000015501","ENSMFAG00000015501","protein_coding",11.5200812808892,0.170062686199237,0.311560880247235,4.08086598992452,0.906009887429683,0.926964060290573
"ENSMFAG00000015060","ENSMFAG00000015060","miRNA",3.23913500341404,-0.0595840972277562,0.702513750687999,4.08063095764345,0.906025821047801,0.926964060290573
"ENSMFAG00000044157","ENSMFAG00000044157","protein_coding",1.96000846493666,-0.525862421935414,0.683659141308588,4.07668150494507,0.906293367115003,0.927197129934669
"ENSMFAG00000002791","ENSMFAG00000002791","protein_coding",4.56814055201185,-0.374176568768946,0.478217417147632,4.07279560390563,0.90655623853185,0.927416113433602
"ENSMFAG00000040562","H2AFV","protein_coding",5405.30745007503,0.0656177809307276,0.100269723076204,4.07234178434646,0.906586914366301,0.927416113433602
"ENSMFAG00000035771","RAB3GAP2","protein_coding",13429.6663240874,-0.0236531557196676,0.0947271817158314,4.07127058574474,0.906659301957554,0.927449499034185
"ENSMFAG00000037263","ENSMFAG00000037263","protein_coding",4.26805282363662,0.596877448495475,0.479075409362143,4.06932037307678,0.906791018427402,0.927543568369053
