"gene_symbol","fisher_score","gene_index","gene_id","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","highest_network","pseudobulk_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05"
"PKNOX2",1.65929416362282,15521,"ENSMFAG00000046199","protein_coding",10609.9227388866,0.194951810023626,0.12210592788879,147.606850467546,2.76060721023905e-27,3.07582267536234e-26,"Occipital/Temporal",0.450961428835569,TRUE,TRUE
"RORB",1.64525345713345,17259,"ENSMFAG00000046226","protein_coding",15050.3458220497,0.776322505050232,0.164955188389483,418.176319528594,1.80705138197698e-84,2.94827383167167e-82,"Occipital/Temporal",1.45502108103434,TRUE,TRUE
"RFTN1",1.63396828376679,17020,"ENSMFAG00000043580","protein_coding",7740.68453567287,0.430800604351355,0.134014174551321,257.378982116239,2.75740449869141e-50,1.11883485841686e-48,"Parietal, and Parieto-occipital region",0.616443213807909,TRUE,TRUE
"FMN1",1.6056522370841,10361,"ENSMFAG00000036844","protein_coding",13393.6606102867,0.264196133751861,0.101800046361202,646.121318174256,2.61881260434215e-133,1.97095215715828e-130,"Occipital/Temporal",0.818241873175891,TRUE,TRUE
"HTR2A",1.59984443329726,11571,"ENSMFAG00000004073","protein_coding",7564.79090836357,-0.0328205516130104,0.153678856481622,255.432944130688,7.10610613628184e-50,2.80528870161745e-48,"Lateral Prefrontal Cortex",0.745126335432412,TRUE,TRUE
"OTOS",1.59711234870072,14930,"ENSMFAG00000038320","protein_coding",1170.45035455365,0.52661350737385,0.175513039596127,255.682728850944,6.29311340968415e-50,2.50553974336759e-48,"Temporal",0.744334633240017,TRUE,TRUE
"VIP",1.585105059083,20705,"ENSMFAG00000040930","protein_coding",884.84642534618,0.224955906137587,0.194956956865536,178.919970766962,8.51550195011358e-34,1.40406484804311e-32,"Lateral Prefrontal Cortex",0.877618969142819,TRUE,TRUE
"ADGRL2",1.58022115476452,312,"ENSMFAG00000035421","protein_coding",18900.3214257336,0.0824456919194031,0.0884114727485682,287.565608176608,1.12947869235176e-56,6.34984755933948e-55,"Temporal",0.369463028161334,TRUE,TRUE
"ENSMFAG00000031052",1.57859910837266,6607,"ENSMFAG00000031052","protein_coding",28550.0891644831,0.381306272013362,0.148999467909599,262.036383214473,2.85894739224691e-51,1.22165021261012e-49,"Frontal (agranular frontal motor areas)",0.676124640822163,TRUE,TRUE
"EPHA3",1.57441691923617,9727,"ENSMFAG00000031166","protein_coding",3483.52403338367,1.26368774965063,0.199276578928172,176.637690867224,2.54982373750172e-33,4.07186431346014e-32,"Occipital/Temporal",1.1213501823583,TRUE,TRUE
"PTPRT",1.57418250301815,16265,"ENSMFAG00000002480","protein_coding",20768.5995711382,-0.166533640518602,0.127909490671643,252.525328344877,2.92246413999311e-49,1.12514869389735e-47,"Cingulate gyrus",0.480163630247402,TRUE,TRUE
"CD300E",1.56623514092817,2240,"ENSMFAG00000037856","protein_coding",567.442241290193,0.171400278929826,0.145465651206694,535.181321111121,1.67129483087132e-109,5.65115647812445e-107,"Occipital/Temporal",1.21443804609361,TRUE,TRUE
"ST8SIA5",1.55876522823777,18874,"ENSMFAG00000035970","protein_coding",12560.6140295109,-0.0652593903012616,0.130603251312711,283.76702541463,7.2054354457938e-56,3.91864835398171e-54,"Occipital/Temporal",0.507247120104912,TRUE,TRUE
