module20,celltype,modulesize,markersize,intersect,or,fdr,significant
yellow,OPC,1108,170,28,3.41672977,3.16108e-06,Enrich
yellow,PVALB,1108,90,1,0.19051186,0.1378145,False
yellow,VIP,1108,85,0,0.0,0.06190615,False
yellow,Oligo,1108,292,187,36.24027514,1.356522e-161,Enrich
yellow,L6B,1108,91,4,0.78173677,0.9677637,False
yellow,Endo,1108,284,29,1.96066472,0.008795107,Enrich
yellow,SMC,1108,216,11,0.91239321,0.9834097,False
yellow,PC,1108,272,15,0.99328621,1.0,False
yellow,SST,1108,97,1,0.17655463,0.1078512,False
yellow,Immune,1108,177,17,1.8208371,0.0952444,False
yellow,RB,1108,262,19,1.33651117,0.3553297,False
brown,VLMC,2156,184,9,0.42243611,0.05001035,False
brown,Astro,2156,258,24,0.84550722,0.5809681,False
brown,Micro,2156,290,28,0.88126482,0.73451,False
brown,OPC,2156,170,11,0.56930857,0.1672621,False
brown,PVALB,2156,90,8,0.8052295,0.7869117,False
brown,VIP,2156,85,5,0.51518094,0.2827904,False
brown,Oligo,2156,292,36,1.16438454,0.5050275,False
brown,L6B,2156,91,7,0.68738533,0.5050275,False
brown,Endo,2156,284,21,0.65626095,0.1672621,False
brown,SMC,2156,216,15,0.61379349,0.1672621,False
brown,PC,2156,272,15,0.47852582,0.05001035,False
brown,SST,2156,97,5,0.44768133,0.1672621,False
brown,Immune,2156,177,17,0.87671176,0.7869117,False
brown,RB,2156,262,16,0.53383328,0.05001035,False
blue,VLMC,2738,184,25,0.98966181,1.0,False
blue,Astro,2738,258,47,1.409166,0.09183331,False
blue,Micro,2738,290,31,0.7506231,0.2083374,False
blue,OPC,2738,170,16,0.6519886,0.1773682,False
blue,PVALB,2738,90,33,3.67643731,1.127578e-06,Enrich
blue,VIP,2738,85,19,1.81776161,0.05861004,False
blue,Oligo,2738,292,24,0.55987297,0.01469529,Absence
blue,L6B,2738,91,11,0.86502681,0.8485761,False
blue,Endo,2738,284,64,1.85102187,0.0005264857,Enrich
blue,SMC,2738,216,35,1.22002688,0.36176,False
blue,PC,2738,272,56,1.64514363,0.007206373,Enrich
blue,SST,2738,97,15,1.15229968,0.672465,False
blue,Immune,2738,177,18,0.71073329,0.2597406,False
blue,RB,2738,262,54,1.6469494,0.007206373,Enrich
turquoise,VLMC,4736,184,42,0.95074467,0.8691822,False
turquoise,Astro,4736,258,73,1.2731286,0.1174092,False
turquoise,Micro,4736,290,118,2.23692265,1.271267e-09,Enrich
turquoise,OPC,4736,170,72,2.3835445,4.311915e-07,Enrich
turquoise,PVALB,4736,90,25,1.2380935,0.4287434,False
turquoise,VIP,4736,85,31,1.85155625,0.01920022,Enrich
turquoise,Oligo,4736,292,18,0.20825421,3.175248e-14,Absence
turquoise,L6B,4736,91,45,3.16623605,4.311915e-07,Enrich
turquoise,Endo,4736,284,52,0.7177032,0.04385897,Absence
turquoise,SMC,4736,216,58,1.18274725,0.3428105,False
turquoise,PC,4736,272,47,0.66848031,0.02144288,Absence
turquoise,SST,4736,97,48,3.171945,3.463283e-07,Enrich
turquoise,Immune,4736,177,73,2.27683087,9.813823e-07,Enrich
turquoise,RB,4736,262,47,0.70003378,0.04385897,Absence
turquoise,PVALB ChC,4736,111,34,1.42296968,0.1174092,False
lightgreen,PVALB ChC,141,111,6,8.34399474,0.0006279495,Enrich
magenta,PVALB ChC,491,111,1,0.35928819,0.9704597,False
greenyellow,PVALB ChC,379,111,2,0.94799845,1.0,False
grey60,PVALB ChC,154,111,0,0.0,1.0,False
brown,PVALB ChC,2156,111,6,0.47057843,0.1672621,False
black,PVALB ChC,590,111,3,0.91179634,1.0,False
tan,PVALB ChC,354,111,0,0.0,1.0,False
pink,PVALB ChC,537,111,0,0.0,0.45494,False
salmon,PVALB ChC,201,111,8,7.91028182,8.072105e-05,Enrich
red,PVALB ChC,865,111,1,0.20007154,0.1659464,False
blue,PVALB ChC,2738,111,30,2.34596935,0.001131868,Enrich
yellow,PVALB ChC,1108,111,3,0.47135526,0.4469058,False
lightyellow,PVALB ChC,141,111,0,0.0,1.0,False
royalblue,PVALB ChC,116,111,0,0.0,1.0,False
cyan,PVALB ChC,191,111,4,3.93128602,0.06148281,False
green,PVALB ChC,945,111,3,0.5583344,0.5532107,False
purple,PVALB ChC,399,111,0,0.0,0.4162226,False
lightcyan,PVALB ChC,166,111,0,0.0,1.0,False
midnightblue,PVALB ChC,176,111,0,0.0,1.0,False
turquoise,L6 CT,4736,86,38,2.55819648,9.437443e-05,Enrich
lightgreen,L6 CT,141,86,1,1.65875808,0.473404,False
magenta,L6 CT,491,86,0,0.0,0.6678359,False
greenyellow,L6 CT,379,86,1,0.60698312,1.0,False
grey60,L6 CT,154,86,0,0.0,1.0,False
brown,L6 CT,2156,86,9,0.96538829,1.0,False
black,L6 CT,590,86,0,0.0,0.4894017,False
tan,L6 CT,354,86,0,0.0,1.0,False
pink,L6 CT,537,86,0,0.0,0.4946708,False
salmon,L6 CT,201,86,5,6.19770002,0.003209989,Enrich
red,L6 CT,865,86,0,0.0,0.1218618,False
blue,L6 CT,2738,86,12,1.02087885,0.9407553,False
yellow,L6 CT,1108,86,4,0.82962487,1.0,False
lightyellow,L6 CT,141,86,0,0.0,1.0,False
royalblue,L6 CT,116,86,0,0.0,1.0,False
cyan,L6 CT,191,86,6,7.98196117,0.001706764,Enrich
green,L6 CT,945,86,1,0.23626416,0.2952919,False
purple,L6 CT,399,86,0,0.0,0.5832045,False
lightcyan,L6 CT,166,86,0,0.0,1.0,False
midnightblue,L6 CT,176,86,0,0.0,1.0,False
turquoise,L5 ET,4736,58,21,1.82875239,0.04385897,Enrich
lightgreen,L5 ET,141,58,4,10.68863659,0.002424122,Enrich
magenta,L5 ET,491,58,1,0.69524794,1.0,False
greenyellow,L5 ET,379,58,0,0.0,1.0,False
grey60,L5 ET,154,58,0,0.0,1.0,False
brown,L5 ET,2156,58,2,0.29438047,0.1672621,False
black,L5 ET,590,58,0,0.0,0.7169578,False
tan,L5 ET,354,58,0,0.0,1.0,False
pink,L5 ET,537,58,0,0.0,0.5942674,False
salmon,L5 ET,201,58,4,7.4100636,0.004719578,Enrich
red,L5 ET,865,58,1,0.38717655,0.5800257,False
blue,L5 ET,2738,58,13,1.82234851,0.1387865,False
yellow,L5 ET,1108,58,1,0.29797127,0.5229885,False
lightyellow,L5 ET,141,58,0,0.0,1.0,False
royalblue,L5 ET,116,58,0,0.0,1.0,False
cyan,L5 ET,191,58,6,12.2950212,0.0005500355,Enrich
green,L5 ET,945,58,0,0.0,0.2390011,False
purple,L5 ET,399,58,0,0.0,0.6733913,False
lightcyan,L5 ET,166,58,0,0.0,1.0,False
midnightblue,L5 ET,176,58,0,0.0,1.0,False
turquoise,SST HGF,4736,98,44,2.63531607,1.268354e-05,Enrich
lightgreen,SST HGF,141,98,3,4.51461998,0.07193141,False
magenta,SST HGF,491,98,1,0.40771271,0.9704597,False
greenyellow,SST HGF,379,98,2,1.07706681,1.0,False
grey60,SST HGF,154,98,0,0.0,1.0,False
brown,SST HGF,2156,98,6,0.53746545,0.2879238,False
black,SST HGF,590,98,3,1.03727579,1.0,False
tan,SST HGF,354,98,0,0.0,1.0,False
pink,SST HGF,537,98,1,0.37183837,0.6633159,False
salmon,SST HGF,201,98,5,5.39563545,0.004784894,Enrich
red,SST HGF,865,98,0,0.0,0.09456854,False
blue,SST HGF,2738,98,22,1.82878529,0.04609218,Enrich
