"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000038315",202.479631189332,0.0328526219653335,0.0996714584804958,14.8271226455581,0.0957953974262879,0.0995279476629903,"HYPK","protein_coding"
"ENSMFAG00000010761",2.48656814670013,0.123985896487577,0.228062394788347,14.8077764216177,0.0963531687149858,0.100102181071137,"RF00019","misc_RNA"
"ENSMFAG00000032318",29.9696637611793,0.186441168763169,0.0842481286454603,14.7866884845153,0.0969644045818724,0.100731895925529,"ENSMFAG00000032318","protein_coding"
"ENSMFAG00000041982",4.35962560562513,-0.318892752918287,0.163746789852528,14.7750641639077,0.0973027907519072,0.101078108297796,"ENSMFAG00000041982","protein_coding"
"ENSMFAG00000033128",11.9160784936993,0.0415993712512766,0.168616723168674,14.7364089426237,0.0984355197204714,0.102249403828403,"ENSMFAG00000033128","protein_coding"
"ENSMFAG00000046934",96.2908679026168,-0.215558774098092,0.0886174496008842,14.7322078784109,0.0985593194884549,0.102372611051545,"ENSMFAG00000046934","lincRNA"
"ENSMFAG00000046416",51663.0957354081,0.180234995943952,0.135819623754211,14.7224669330826,0.0988468977852674,0.102665911522207,"ND2","protein_coding"
"ENSMFAG00000011400",12.4238491989033,-0.25177591058802,0.123177948548395,14.7128448603125,0.0991316888618755,0.102956286363626,"RF00017","misc_RNA"
"ENSMFAG00000044414",3.78422937998821,-0.261725882251926,0.201140747897769,14.7113151771955,0.0991770301581303,0.102997955741065,"EPO","protein_coding"
"ENSMFAG00000045216",192.540456384637,-0.0223648979210865,0.0642978067677184,14.7034086119074,0.0994116784282422,0.103236210659759,"SNRNP48","protein_coding"
"ENSMFAG00000005319",4.87424588059395,-0.246302158017051,0.151484273302117,14.6983269385673,0.0995627473253056,0.103387650259074,"RF01233","snoRNA"
"ENSMFAG00000003882",4.67627732429601,-0.199100526908546,0.183330323070277,14.6720903407586,0.100345918726994,0.104195425370786,"ENSMFAG00000003882","protein_coding"
"ENSMFAG00000000694",3.21447868376813,0.132279475207068,0.173574806854253,14.6581818123973,0.100763277581747,0.104623289478164,"ENSMFAG00000000694","protein_coding"
"ENSMFAG00000018676",3.15372186186059,-0.447918464804476,0.21240212960618,14.6572583274101,0.100791042705734,0.104646611663748,"ENSMFAG00000018676","miRNA"
"ENSMFAG00000040801",412.468255592505,0.0388329487430665,0.0510125448084461,14.6222464937255,0.101848646472924,0.105739108292315,"ZNF513","protein_coding"
"ENSMFAG00000035366",122.712544301361,-0.112865185158343,0.0574875674118502,14.6121024765735,0.102156875642802,0.106053531340231,"ENSMFAG00000035366","protein_coding"
"ENSMFAG00000014889",7.92141115243173,0.028179406822587,0.139355520434681,14.6007853646115,0.102501712148421,0.106405922985724,"RF00026","snRNA"
"ENSMFAG00000044097",3313.02633305921,0.0423644152472372,0.0534236800160181,14.571243482811,0.103406663385088,0.107339696034224,"ACTR2","protein_coding"
"ENSMFAG00000032063",6.75331701780535,0.0473144874151558,0.139580901586982,14.5648866102929,0.103602302516946,0.107537119056516,"ENSMFAG00000032063","protein_coding"
"ENSMFAG00000019016",3.51570713661264,-0.478802233382657,0.183418486003387,14.5475229397875,0.104138335387838,0.108087824621157,"RF00026","snRNA"
"ENSMFAG00000038933",4.52457386342252,-0.0707542174518367,0.171433405626766,14.5324413093103,0.10460588297844,0.108567393379475,"ENSMFAG00000038933","miRNA"
"ENSMFAG00000012668",3.18143307167767,-0.285049357274094,0.17804472991916,14.5249468523871,0.104838900285553,0.108803512356521,"RF00069","snoRNA"
"ENSMFAG00000043321",1479.68370476798,0.0599635650651405,0.0430557498628663,14.5240658147286,0.104866323199064,0.108825588087535,"FBXL5","protein_coding"
"ENSMFAG00000005721",3.59485514668105,-0.126196933870551,0.189054603229811,14.5239090913105,0.104871201980766,0.108825588087535,"MIR889","miRNA"
