"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000040538","Temporal",0.933185476973515,"SEC16B","protein_coding"
"ENSMFAG00000046625","Cingulate gyrus",0.535722460542405,"ENSMFAG00000046625","lincRNA"
"ENSMFAG00000032705","Cingulate gyrus",0.155744717580843,"RASAL2","protein_coding"
"ENSMFAG00000040960","Subcortical",0.822487545215907,"CLEC20A","protein_coding"
"ENSMFAG00000046254","Cingulate gyrus",0.208514594598186,"TEX35","protein_coding"
"ENSMFAG00000001541","Hippocampal formation",0.982173122394512,"RALGPS2","protein_coding"
"ENSMFAG00000031474","Subcortical",0.429981998654445,"ANGPTL1","protein_coding"
"ENSMFAG00000036425","Subcortical",0.126117751201382,"FAM20B","protein_coding"
"ENSMFAG00000041376","Hippocampal formation",0.442378944766777,"TOR3A","protein_coding"
"ENSMFAG00000036564","Hippocampal formation",0.420764511494307,"ABL2","protein_coding"
"ENSMFAG00000029668","Subcortical",0.497457865455772,"ENSMFAG00000029668","protein_coding"
"ENSMFAG00000037136","Subcortical",0.574876476754743,"SOAT1","protein_coding"
"ENSMFAG00000042963","Hippocampal formation",1.13543950488957,"AXDND1","protein_coding"
"ENSMFAG00000045587","Subcortical",1.51028191748018,"TDRD5","protein_coding"
"ENSMFAG00000037711","Subcortical",3.00864945564555,"FAM163A","protein_coding"
"ENSMFAG00000042897","Subcortical",0.297986342342549,"TOR1AIP2","protein_coding"
"ENSMFAG00000031398","Subcortical",0.0870881655294915,"TOR1AIP1","protein_coding"
"ENSMFAG00000008333","Occipital/Temporal",0.289746659337932,"RF00017","misc_RNA"
"ENSMFAG00000037570","Occipital/Temporal",0.2072744740311,"CEP350","protein_coding"
"ENSMFAG00000039984","Frontal (agranular frontal motor areas)",0.131982347376881,"QSOX1","protein_coding"
"ENSMFAG00000040765","Cingulate gyrus",0.518632525214657,"LHX4","protein_coding"
"ENSMFAG00000036354","Operculum/Insula",0.0611867296837505,"ACBD6","protein_coding"
"ENSMFAG00000036802","Subcortical",0.162396385626542,"XPR1","protein_coding"
"ENSMFAG00000033722","Occipital/Temporal",0.377662854292591,"KIAA1614","protein_coding"
"ENSMFAG00000032791","Hippocampal formation",0.13127929690604,"STX6","protein_coding"
"ENSMFAG00000036719","Hippocampal formation",0.177202867337458,"MR1","protein_coding"
"ENSMFAG00000017437","Occipital/Temporal",0.72165681009275,"IER5","protein_coding"
"ENSMFAG00000039476","Hippocampal formation",0.509832859698959,"CACNA1E","protein_coding"
"ENSMFAG00000013861","Hippocampal formation",0.597176732769314,"ENSMFAG00000013861","protein_coding"
