"gene_symbol","fisher_score","gene_index","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","highest_network","donor_centered_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05","effect_n_donors","effect_se","effect_ci95_low","effect_ci95_high"
"MCHR1",1.73338857487939,13156,"ENSMFAG00000045345",398.430064765527,-0.205289646305378,0.0651869404051542,960.158583075197,6.70401693581556e-201,5.3125968745989e-199,"protein_coding","Frontal (agranular frontal motor areas)",0.672748283638556,TRUE,TRUE,8,0.0424255027924485,0.3053040980999,0.505944843677983
"ENSMFAG00000030025",1.72788611560374,6317,"ENSMFAG00000030025",197.228752535736,0.031687363091915,0.0766631668735858,5161.53604487203,0,0,"protein_coding","Subcortical",2.61348892329451,TRUE,TRUE,7,0.363525150471706,1.39542352052957,3.17445151828652
"NCALD",1.72129866620712,14198,"ENSMFAG00000036726",3740.03805553281,0.175555963129629,0.0716641638698007,989.025288091392,4.00813696718985e-207,3.53073922484777e-205,"protein_coding","Occipital/Temporal",0.751668519309679,TRUE,TRUE,9,0.078066091639078,0.446434816049603,0.806476276327486
"LPL",1.70398559575091,12739,"ENSMFAG00000041424",341.165240503644,-0.139070664359649,0.0986491183829271,5577.31948357009,0,0,"protein_coding","Subcortical",2.82679458957629,TRUE,TRUE,7,0.239438773074638,2.43839265226798,3.61016379518787
"ATRNL1",1.68939482235192,1131,"ENSMFAG00000003582",11892.4600303753,0.0851897574873233,0.0608856616394615,978.731398064718,6.64295385673481e-205,5.5541849788598e-203,"protein_coding","Frontal (agranular frontal motor areas)",0.587133352151883,TRUE,TRUE,8,0.0762849743920797,0.277162051609814,0.637932652569106
"MICAL2",1.67959350580214,13355,"ENSMFAG00000003872",6186.54013631776,0.105054200366179,0.0560816665193959,950.988263104067,6.35459782546624e-199,4.95608396411462e-197,"protein_coding","Occipital/Temporal",0.479395549536197,TRUE,TRUE,9,0.0771023037149352,0.177898045155722,0.533494507556539
"TBR1",1.66993484599519,19256,"ENSMFAG00000037011",3095.43181302456,0.0316738872378712,0.119790673663171,403.849522176868,2.06664206856168e-81,1.88704217014618e-80,"protein_coding","Occipital/Temporal",0.964392140400786,TRUE,TRUE,9,0.116627406129754,0.389146879077828,0.927033440704525
"PKNOX2",1.65929416362282,15521,"ENSMFAG00000046199",1723.27710959452,0.140062455808613,0.0531609911615095,1078.13686740682,2.41817054672445e-226,2.62172204549268e-224,"protein_coding","Occipital/Temporal",0.559389292864217,TRUE,TRUE,9,0.058356204483456,0.280606406180407,0.549745703887746
"RORB",1.64525345713345,17259,"ENSMFAG00000046226",2503.75719980224,0.772385629563676,0.0795653954793089,1530.86564842688,4.94065645841247e-324,1.26480805335359e-321,"protein_coding","Occipital/Temporal",1.48756940730425,TRUE,TRUE,9,0.18396171285216,0.710610246046325,1.55904318715897
"RFTN1",1.63396828376679,17020,"ENSMFAG00000043580",1438.97297197657,0.442270071282637,0.0779412225229046,944.521121083064,1.57419990860602e-197,1.20864251348692e-195,"protein_coding","Occipital/Temporal",0.858097304879354,TRUE,TRUE,9,0.118463139321349,0.26233319377084,0.808686172059438
"FMN1",1.6056522370841,10361,"ENSMFAG00000036844",2048.37732310461,0.139618288926999,0.066576849671195,1273.93518662666,1.31717858302588e-268,2.1130542927046e-266,"protein_coding","Occipital/Temporal",0.873723403203298,TRUE,TRUE,9,0.161401626413523,0.252927860456266,0.997313496332791
